day,campaign,adgroup,impressions,clicks,cost
2024-08-26,engagement_campaign,ad_group_e,70082,1479,846.18
2024-08-27,engagement_campaign,ad_group_e,88601,1801,15.1
2024-08-28,engagement_campaign,ad_group_e,54519,4551,188.04
2024-08-29,engagement_campaign,ad_group_e,24103,911,325.11
2024-08-30,engagement_campaign,ad_group_e,28926,166,718.47
2024-08-31,engagement_campaign,ad_group_f,58517,4093,336.03
2024-09-01,engagement_campaign,ad_group_e,25287,1032,726.21
2024-09-02,engagement_campaign,ad_group_e,68647,1310,629.57
2024-09-03,engagement_campaign,ad_group_f,10676,850,861.4
2024-09-04,engagement_campaign,ad_group_e,25776,1301,361.13
2024-09-05,engagement_campaign,ad_group_e,25305,2435,125.74
2024-09-06,engagement_campaign,ad_group_e,83917,2879,48.31
2024-09-07,engagement_campaign,ad_group_f,54865,1977,990.24
2024-09-08,engagement_campaign,ad_group_f,42926,2284,635.17
2024-09-09,engagement_campaign,ad_group_e,51181,4660,890.27
2024-09-10,engagement_campaign,ad_group_e,78806,7036,872.06
2024-09-11,engagement_campaign,ad_group_f,38120,468,760.22
2024-09-12,engagement_campaign,ad_group_e,29542,1476,187.24
2024-09-13,engagement_campaign,ad_group_e,44410,2033,480.21
2024-09-14,engagement_campaign,ad_group_f,60963,1809,710.77
2024-09-15,engagement_campaign,ad_group_f,33050,614,647.71
2024-09-16,engagement_campaign,ad_group_e,31472,530,821.4
2024-09-17,engagement_campaign,ad_group_f,33173,2991,59.24
2024-09-18,engagement_campaign,ad_group_f,5461,434,351.1
2024-09-19,engagement_campaign,ad_group_f,69978,3869,776.33
2024-09-20,engagement_campaign,ad_group_e,2130,171,920.57
2024-09-21,engagement_campaign,ad_group_e,94695,2246,577.94
2024-09-22,engagement_campaign,ad_group_f,67387,2076,142.32
2024-09-23,engagement_campaign,ad_group_f,33340,292,633.86
2024-09-24,engagement_campaign,ad_group_f,34439,484,816.3
2024-09-25,engagement_campaign,ad_group_e,22567,180,630.56
2024-09-26,engagement_campaign,ad_group_f,90075,3730,673.19
2024-09-27,engagement_campaign,ad_group_f,50558,3221,829.64
2024-09-28,engagement_campaign,ad_group_f,65897,82,453.16
2024-09-29,engagement_campaign,ad_group_f,41014,1994,730.15
2024-09-30,engagement_campaign,ad_group_f,54143,2443,869.03
