day,campaign,adgroup,impressions,clicks,cost
2024-08-10,native_ads_campaign,ad_group_d,98815,909,727.61
2024-08-11,native_ads_campaign,ad_group_d,83394,116,446.63
2024-08-12,native_ads_campaign,ad_group_c,56874,2776,496.49
2024-08-13,native_ads_campaign,ad_group_c,27171,2289,490.81
2024-08-14,native_ads_campaign,ad_group_d,32830,1989,853.2
2024-08-15,native_ads_campaign,ad_group_d,47614,3801,115.66
2024-08-16,native_ads_campaign,ad_group_d,3525,318,445.91
2024-08-17,native_ads_campaign,ad_group_d,79738,4194,748.08
2024-08-18,native_ads_campaign,ad_group_d,35061,2843,232.72
2024-08-19,native_ads_campaign,ad_group_d,86379,6893,42.66
2024-08-20,native_ads_campaign,ad_group_c,7134,609,142.38
2024-08-21,native_ads_campaign,ad_group_d,34294,1752,314.46
2024-08-22,native_ads_campaign,ad_group_d,42695,906,480.51
2024-08-23,native_ads_campaign,ad_group_d,9410,506,468.36
2024-08-24,native_ads_campaign,ad_group_d,53545,4771,164.55
2024-08-25,native_ads_campaign,ad_group_d,68286,6461,291.82
2024-08-26,native_ads_campaign,ad_group_c,7388,671,103.21
2024-08-27,native_ads_campaign,ad_group_c,46611,2589,423.46
2024-08-28,native_ads_campaign,ad_group_d,10235,461,15.39
2024-08-29,native_ads_campaign,ad_group_c,42135,1360,255.26
2024-08-30,native_ads_campaign,ad_group_d,18332,800,625.81
2024-08-31,native_ads_campaign,ad_group_d,19790,1253,975.88
2024-09-01,native_ads_campaign,ad_group_c,80987,7153,419.72
2024-09-02,native_ads_campaign,ad_group_d,37269,2057,897.33
2024-09-03,native_ads_campaign,ad_group_c,59939,3884,865.55
2024-09-04,native_ads_campaign,ad_group_c,36430,1316,163.6
2024-09-05,native_ads_campaign,ad_group_d,76328,3867,930.32
2024-09-06,native_ads_campaign,ad_group_d,41065,1166,279.73
2024-09-07,native_ads_campaign,ad_group_d,85258,6558,346.26
2024-09-08,native_ads_campaign,ad_group_d,66030,1302,533.91
2024-09-09,native_ads_campaign,ad_group_d,3154,210,81.56
2024-09-10,native_ads_campaign,ad_group_d,82402,7777,368.72
2024-09-11,native_ads_campaign,ad_group_d,2683,169,24.98
2024-09-12,native_ads_campaign,ad_group_c,15300,788,713.32
2024-09-13,native_ads_campaign,ad_group_c,42257,2953,909.12
2024-09-14,native_ads_campaign,ad_group_c,33922,469,205.34
2024-09-15,native_ads_campaign,ad_group_d,72456,3436,98.31
2024-09-16,native_ads_campaign,ad_group_d,14668,380,17.66
2024-09-17,native_ads_campaign,ad_group_c,28477,1967,40.82
2024-09-18,native_ads_campaign,ad_group_c,57465,4916,192.45
2024-09-19,native_ads_campaign,ad_group_c,56083,3692,43.98
2024-09-20,native_ads_campaign,ad_group_c,13082,807,263.27
2024-09-21,native_ads_campaign,ad_group_c,52577,988,837.03
2024-09-22,native_ads_campaign,ad_group_c,11125,561,264.81
2024-09-23,native_ads_campaign,ad_group_d,32785,81,551.01
2024-09-24,native_ads_campaign,ad_group_c,68228,4237,808.57
2024-09-25,native_ads_campaign,ad_group_d,37418,1963,293.67
2024-09-26,native_ads_campaign,ad_group_c,21120,409,135.91
2024-09-27,native_ads_campaign,ad_group_d,5519,189,937.54
2024-09-28,native_ads_campaign,ad_group_d,83311,6015,414.62
2024-09-29,native_ads_campaign,ad_group_c,62845,2910,233.52
2024-09-30,native_ads_campaign,ad_group_c,9297,865,937.8
