day,utm_source,utm_medium,utm_campaign,utm_content,Total users,First time purchasers,New users,Bounce rate,Sessions,Engaged sessions,Purchase revenue,Purchases
2024-07-08,criteo,display,retargeting_campaign,ad_group_h,197,29,39,42.13,257,137,783.64,43
2024-07-09,google,ppc,search_campaign,ad_group_a,439,38,15,71.56,621,571,2485.2,38
2024-07-09,yahoo,ppc,native_ads_campaign,ad_group_d,450,94,217,32.01,859,848,4914.94,89
2024-07-09,facebook,social,engagement_campaign,ad_group_e,273,20,96,51.53,504,353,3456.72,33
2024-07-09,criteo,display,retargeting_campaign,ad_group_h,361,68,54,78.4,447,276,3388.6,124
2024-07-10,google,ppc,search_campaign,ad_group_a,284,21,74,60.24,394,243,2358.5,41
2024-07-10,yahoo,ppc,native_ads_campaign,ad_group_c,349,7,111,69.83,655,578,4617.94,13
2024-07-10,facebook,social,engagement_campaign,ad_group_e,402,47,114,21.03,588,570,732.71,18
2024-07-10,criteo,display,retargeting_campaign,ad_group_h,346,62,161,34.13,554,321,1176.36,47
2024-07-11,google,ppc,search_campaign,ad_group_a,308,53,135,70.66,531,475,4538.49,31
2024-07-11,yahoo,ppc,native_ads_campaign,ad_group_c,239,32,22,43.04,451,385,624.47,27
2024-07-11,facebook,social,engagement_campaign,ad_group_f,100,13,16,76.45,162,118,3686.88,2
2024-07-11,criteo,display,retargeting_campaign,ad_group_h,98,12,29,46.09,193,104,3770.41,10
2024-07-12,google,ppc,search_campaign,ad_group_a,360,74,33,42.54,611,445,847.5,138
2024-07-12,yahoo,ppc,native_ads_campaign,ad_group_c,264,11,42,74.5,503,396,2621.37,19
2024-07-12,facebook,social,engagement_campaign,ad_group_e,210,34,47,46.02,326,178,1740.88,27
2024-07-12,criteo,display,retargeting_campaign,ad_group_h,367,38,88,58.63,706,645,2365.09,19
2024-07-13,google,ppc,search_campaign,ad_group_a,202,29,34,53.71,233,190,2315.05,31
2024-07-13,yahoo,ppc,native_ads_campaign,ad_group_c,438,13,149,33.61,747,514,1909.72,18
2024-07-13,facebook,social,engagement_campaign,ad_group_e,371,8,23,71.44,520,266,2269.26,3
2024-07-13,criteo,display,retargeting_campaign,ad_group_g,102,23,20,45.02,144,111,1688.57,37
2024-07-14,google,ppc,search_campaign,ad_group_a,207,18,42,66.68,275,221,3074.36,35
2024-07-14,yahoo,ppc,native_ads_campaign,ad_group_c,379,89,115,30.31,471,432,4869.42,87
2024-07-14,facebook,social,engagement_campaign,ad_group_f,410,86,28,70.39,609,466,4151.62,124
2024-07-14,criteo,display,retargeting_campaign,ad_group_h,372,93,159,49.73,659,617,1333.45,80
2024-07-15,google,ppc,search_campaign,ad_group_a,453,7,43,21.51,596,580,1555.07,2
2024-07-15,yahoo,ppc,native_ads_campaign,ad_group_d,112,9,19,58.32,216,138,3933.38,14
2024-07-15,facebook,social,engagement_campaign,ad_group_e,161,31,69,21.98,177,132,2986.14,30
2024-07-15,criteo,display,retargeting_campaign,ad_group_h,463,15,209,78.55,660,330,4630.44,6
2024-07-16,google,ppc,search_campaign,ad_group_a,244,51,118,55.65,334,195,1288.35,54
2024-07-16,yahoo,ppc,native_ads_campaign,ad_group_c,355,13,137,22.66,429,261,1249.01,17
2024-07-16,facebook,social,engagement_campaign,ad_group_f,199,5,31,51.89,233,225,2940.73,9
2024-07-16,criteo,display,retargeting_campaign,ad_group_h,339,47,67,35.24,617,469,2892.01,83
2024-07-17,google,ppc,search_campaign,ad_group_a,55,10,25,59.98,91,68,4298.73,12
2024-07-17,yahoo,ppc,native_ads_campaign,ad_group_d,290,22,124,35.1,501,375,3238.44,6
2024-07-17,facebook,social,engagement_campaign,ad_group_e,420,53,210,78.86,522,276,4482.69,17
2024-07-17,criteo,display,retargeting_campaign,ad_group_h,379,17,189,28.93,685,670,1042.49,13
2024-07-18,google,ppc,search_campaign,ad_group_a,176,5,86,60.36,231,148,3101.1,4
2024-07-18,yahoo,ppc,native_ads_campaign,ad_group_c,192,37,23,23.47,206,157,2777.14,53
2024-07-18,facebook,social,engagement_campaign,ad_group_e,141,35,52,60.92,202,127,4582.97,16
2024-07-18,criteo,display,retargeting_campaign,ad_group_h,402,34,153,37.72,691,453,3343.22,1
2024-07-19,google,ppc,search_campaign,ad_group_a,93,19,31,74.73,183,96,3218.52,17
2024-07-19,yahoo,ppc,native_ads_campaign,ad_group_d,70,13,30,70.15,109,70,1067.54,2
2024-07-19,facebook,social,engagement_campaign,ad_group_f,316,61,12,53.08,514,481,3042.95,88
2024-07-19,criteo,display,retargeting_campaign,ad_group_h,451,77,215,42.03,453,314,3359.63,6
2024-07-20,google,ppc,search_campaign,ad_group_b,171,5,12,53.81,191,151,3739.54,8
2024-07-20,yahoo,ppc,native_ads_campaign,ad_group_d,52,5,20,52.02,93,81,4976.74,10
2024-07-20,facebook,social,engagement_campaign,ad_group_e,255,6,17,35.43,407,337,4645.76,6
2024-07-20,criteo,display,retargeting_campaign,ad_group_h,357,12,18,53.74,384,219,3470.65,4
2024-07-21,google,ppc,search_campaign,ad_group_b,425,37,82,24.53,755,465,353.46,19
2024-07-21,yahoo,ppc,native_ads_campaign,ad_group_c,218,38,83,63.31,241,140,1921.96,76
2024-07-21,facebook,social,engagement_campaign,ad_group_f,144,10,34,59.71,192,182,1747.98,20
2024-07-21,criteo,display,retargeting_campaign,ad_group_h,360,68,158,29.26,390,208,4541.94,18
2024-07-22,google,ppc,search_campaign,ad_group_a,226,22,24,36.98,296,151,4832.35,20
2024-07-22,yahoo,ppc,native_ads_campaign,ad_group_c,177,30,38,67.52,348,205,2051.53,20
2024-07-22,facebook,social,engagement_campaign,ad_group_e,475,45,143,52.78,709,542,1286.87,32
2024-07-22,criteo,display,retargeting_campaign,ad_group_g,468,11,130,70.96,585,521,1098.2,13
2024-07-23,google,ppc,search_campaign,ad_group_b,95,16,27,65.81,177,172,4509.24,12
2024-07-23,yahoo,ppc,native_ads_campaign,ad_group_d,489,40,71,48.43,731,559,3688.98,48
2024-07-23,facebook,social,engagement_campaign,ad_group_f,375,14,98,23.52,625,510,2172.1,27
2024-07-23,criteo,display,retargeting_campaign,ad_group_g,254,52,96,33.12,315,168,3440.67,89
2024-07-24,google,ppc,search_campaign,ad_group_b,312,55,123,20.5,328,214,3174.84,15
2024-07-24,yahoo,ppc,native_ads_campaign,ad_group_d,262,31,64,47.11,309,213,3862.63,41
2024-07-24,facebook,social,engagement_campaign,ad_group_e,325,56,141,51.14,500,282,4900.48,40
2024-07-24,criteo,display,retargeting_campaign,ad_group_h,144,15,72,40.55,185,140,970.73,22
2024-07-25,google,ppc,search_campaign,ad_group_b,198,15,87,40.18,348,275,377.06,27
2024-07-25,yahoo,ppc,native_ads_campaign,ad_group_d,353,61,47,78.74,408,368,4911.04,80
2024-07-25,facebook,social,engagement_campaign,ad_group_f,97,6,26,63.49,146,83,653.71,12
2024-07-25,criteo,display,retargeting_campaign,ad_group_h,413,96,92,38.19,414,404,4382.36,190
2024-07-26,google,ppc,search_campaign,ad_group_b,423,66,69,45.29,452,263,4536.21,47
2024-07-26,yahoo,ppc,native_ads_campaign,ad_group_c,277,38,125,31.31,533,362,2601.23,3
2024-07-26,facebook,social,engagement_campaign,ad_group_f,324,6,143,69.54,451,332,4622.51,12
2024-07-26,criteo,display,retargeting_campaign,ad_group_g,237,41,48,73.44,362,256,921.98,21
2024-07-27,google,ppc,search_campaign,ad_group_b,233,49,108,63.46,372,255,1969.94,5
2024-07-27,yahoo,ppc,native_ads_campaign,ad_group_d,223,36,38,46.27,263,252,1021.38,63
2024-07-27,facebook,social,engagement_campaign,ad_group_f,349,45,141,61.15,486,331,425.12,57
2024-07-27,criteo,display,retargeting_campaign,ad_group_h,353,8,173,74.29,605,588,3651.63,9
2024-07-28,google,ppc,search_campaign,ad_group_a,370,17,95,28.54,524,459,323.15,21
2024-07-28,yahoo,ppc,native_ads_campaign,ad_group_d,424,83,186,39.89,662,559,1838.52,100
2024-07-28,facebook,social,engagement_campaign,ad_group_e,360,82,163,40.37,622,474,1396.99,33
2024-07-28,criteo,display,retargeting_campaign,ad_group_g,341,68,28,39.23,534,372,1553.43,132
2024-07-29,google,ppc,search_campaign,ad_group_b,184,15,60,25.67,360,293,2880.21,29
2024-07-29,yahoo,ppc,native_ads_campaign,ad_group_d,489,54,134,58.72,827,487,4681.06,58
2024-07-29,facebook,social,engagement_campaign,ad_group_f,346,6,15,24.02,361,354,3540.04,11
2024-07-29,criteo,display,retargeting_campaign,ad_group_h,403,33,150,20.2,555,456,1278.15,34
2024-07-30,google,ppc,search_campaign,ad_group_a,162,7,55,39.77,168,138,3235.4,11
2024-07-30,yahoo,ppc,native_ads_campaign,ad_group_c,92,21,13,38.79,181,126,4071.84,29
2024-07-30,facebook,social,engagement_campaign,ad_group_e,134,32,60,40.65,260,141,2795.04,11
2024-07-30,criteo,display,retargeting_campaign,ad_group_h,251,52,121,43.15,359,200,937.42,33
2024-07-31,google,ppc,search_campaign,ad_group_a,259,45,57,22.22,469,382,1394.0,75
2024-07-31,yahoo,ppc,native_ads_campaign,ad_group_d,442,101,168,76.73,645,426,1598.24,24
2024-07-31,facebook,social,engagement_campaign,ad_group_e,489,24,171,45.02,512,359,675.13,40
2024-07-31,criteo,display,retargeting_campaign,ad_group_g,368,16,33,75.01,478,359,2164.27,29
2024-08-01,google,ppc,search_campaign,ad_group_b,330,55,24,71.32,626,315,2988.19,71
2024-08-01,yahoo,ppc,native_ads_campaign,ad_group_c,114,9,46,31.6,145,87,3666.02,12
2024-08-01,facebook,social,engagement_campaign,ad_group_f,428,34,25,43.37,675,432,1920.0,36
2024-08-01,criteo,display,retargeting_campaign,ad_group_h,271,11,62,60.88,431,386,3455.95,16
2024-08-02,google,ppc,search_campaign,ad_group_a,344,44,106,37.48,524,499,2435.1,6
2024-08-02,yahoo,ppc,native_ads_campaign,ad_group_c,75,9,26,37.78,79,54,2702.02,4
2024-08-02,facebook,social,engagement_campaign,ad_group_e,355,39,41,24.04,513,351,834.6,7
2024-08-02,criteo,display,retargeting_campaign,ad_group_h,401,70,75,65.85,410,321,2607.6,92
2024-08-03,google,ppc,search_campaign,ad_group_b,62,5,10,53.31,71,60,3487.15,2
2024-08-03,yahoo,ppc,native_ads_campaign,ad_group_c,310,50,139,78.23,592,510,3539.18,87
2024-08-03,facebook,social,engagement_campaign,ad_group_f,142,18,25,48.97,256,227,3422.49,32
2024-08-03,criteo,display,retargeting_campaign,ad_group_g,204,45,92,63.21,339,203,2229.43,47
2024-08-04,google,ppc,search_campaign,ad_group_b,340,33,67,26.68,634,592,3947.26,21
2024-08-04,yahoo,ppc,native_ads_campaign,ad_group_c,371,40,84,64.01,631,319,808.83,75
2024-08-04,facebook,social,engagement_campaign,ad_group_e,171,16,40,28.51,286,283,2264.15,32
2024-08-04,criteo,display,retargeting_campaign,ad_group_h,323,44,89,60.79,403,229,1166.12,13
2024-08-05,google,ppc,search_campaign,ad_group_a,288,25,67,78.78,554,378,2488.87,16
2024-08-05,yahoo,ppc,native_ads_campaign,ad_group_c,447,37,198,39.23,799,642,212.45,38
2024-08-05,facebook,social,engagement_campaign,ad_group_e,166,24,23,65.21,314,285,2438.79,2
2024-08-05,criteo,display,retargeting_campaign,ad_group_g,169,7,28,49.82,322,295,1594.27,9
2024-08-06,google,ppc,search_campaign,ad_group_a,119,17,46,36.39,168,119,2321.85,27
2024-08-06,yahoo,ppc,native_ads_campaign,ad_group_c,358,56,99,77.42,448,428,4268.44,24
2024-08-06,facebook,social,engagement_campaign,ad_group_f,381,5,38,51.76,535,390,1730.0,6
2024-08-06,criteo,display,retargeting_campaign,ad_group_h,332,38,94,26.37,617,330,4911.23,14
2024-08-07,google,ppc,search_campaign,ad_group_b,51,12,25,42.06,69,49,4599.59,22
2024-08-07,yahoo,ppc,native_ads_campaign,ad_group_c,466,60,126,26.81,553,428,461.47,78
2024-08-07,facebook,social,engagement_campaign,ad_group_e,149,26,55,24.51,175,142,567.84,45
2024-08-07,criteo,display,retargeting_campaign,ad_group_h,65,11,11,22.44,102,52,1815.13,4
2024-08-08,google,ppc,search_campaign,ad_group_a,451,81,210,27.74,511,289,3106.14,157
2024-08-08,yahoo,ppc,native_ads_campaign,ad_group_c,353,57,31,70.87,600,408,3416.76,4
2024-08-08,facebook,social,engagement_campaign,ad_group_f,66,10,12,56.21,101,95,3625.27,3
2024-08-08,criteo,display,retargeting_campaign,ad_group_h,454,37,174,76.31,479,452,3067.75,49
2024-08-09,google,ppc,search_campaign,ad_group_b,303,20,95,74.04,404,265,3881.59,11
2024-08-09,yahoo,ppc,native_ads_campaign,ad_group_c,76,18,15,42.41,142,80,4345.05,9
2024-08-09,facebook,social,engagement_campaign,ad_group_e,51,9,13,69.47,94,53,4351.46,12
2024-08-09,criteo,display,retargeting_campaign,ad_group_h,177,26,32,32.28,304,272,137.08,43
2024-08-10,google,ppc,search_campaign,ad_group_b,292,41,140,31.84,402,239,2437.51,22
2024-08-10,yahoo,ppc,native_ads_campaign,ad_group_c,250,15,97,66.31,304,166,4571.78,22
2024-08-10,facebook,social,engagement_campaign,ad_group_f,326,28,90,57.8,416,363,4132.45,16
2024-08-10,criteo,display,retargeting_campaign,ad_group_g,394,10,155,28.73,546,413,633.32,1
2024-08-11,google,ppc,search_campaign,ad_group_a,57,12,15,22.87,71,47,1244.45,2
2024-08-11,yahoo,ppc,native_ads_campaign,ad_group_c,202,35,92,60.22,211,105,2766.32,28
2024-08-11,facebook,social,engagement_campaign,ad_group_e,265,31,11,35.07,461,285,218.57,53
2024-08-11,criteo,display,retargeting_campaign,ad_group_g,353,20,144,76.5,433,262,1499.51,26
2024-08-12,google,ppc,search_campaign,ad_group_a,89,7,31,64.57,140,138,2922.3,2
2024-08-12,yahoo,ppc,native_ads_campaign,ad_group_d,156,11,18,64.07,193,169,1777.17,7
2024-08-12,facebook,social,engagement_campaign,ad_group_e,446,16,63,43.63,448,283,1014.18,17
2024-08-12,criteo,display,retargeting_campaign,ad_group_g,347,7,39,74.84,611,443,1360.03,10
2024-08-13,google,ppc,search_campaign,ad_group_a,411,73,205,61.09,815,413,4339.65,46
2024-08-13,yahoo,ppc,native_ads_campaign,ad_group_d,489,42,114,68.97,900,557,4923.12,35
2024-08-13,facebook,social,engagement_campaign,ad_group_e,247,48,71,79.3,342,193,167.76,55
2024-08-13,criteo,display,retargeting_campaign,ad_group_h,270,49,74,35.36,404,310,735.55,61
2024-08-14,google,ppc,search_campaign,ad_group_b,77,5,19,41.31,121,88,1285.42,10
2024-08-14,yahoo,ppc,native_ads_campaign,ad_group_c,82,9,31,66.46,154,93,4349.48,10
2024-08-14,facebook,social,engagement_campaign,ad_group_f,131,30,59,56.68,219,138,4064.32,37
2024-08-14,criteo,display,retargeting_campaign,ad_group_h,496,42,194,41.9,590,355,4731.17,45
2024-08-15,google,ppc,search_campaign,ad_group_b,75,18,14,50.93,129,125,896.97,27
2024-08-15,yahoo,ppc,native_ads_campaign,ad_group_d,327,64,20,72.96,537,319,4391.27,106
2024-08-15,facebook,social,engagement_campaign,ad_group_e,93,6,42,33.01,99,62,3353.42,1
2024-08-15,criteo,display,retargeting_campaign,ad_group_h,293,49,11,51.84,309,162,2463.98,97
2024-08-16,google,ppc,search_campaign,ad_group_a,294,48,16,41.23,422,305,3941.95,91
2024-08-16,yahoo,ppc,native_ads_campaign,ad_group_c,475,24,47,75.38,775,467,1216.71,34
2024-08-16,facebook,social,engagement_campaign,ad_group_f,355,10,172,28.57,396,335,1208.08,16
2024-08-16,criteo,display,retargeting_campaign,ad_group_g,296,18,121,76.42,510,509,3178.21,36
2024-08-17,google,ppc,search_campaign,ad_group_b,437,54,46,77.85,513,423,2859.44,61
2024-08-17,yahoo,ppc,native_ads_campaign,ad_group_c,400,57,57,75.62,534,468,1018.35,26
2024-08-17,facebook,social,engagement_campaign,ad_group_e,417,76,89,61.96,532,518,3742.51,117
2024-08-17,criteo,display,retargeting_campaign,ad_group_h,340,54,51,46.93,530,512,3814.81,1
2024-08-18,google,ppc,search_campaign,ad_group_b,226,22,59,63.5,257,153,888.0,33
2024-08-18,yahoo,ppc,native_ads_campaign,ad_group_d,297,17,146,34.8,529,272,1884.41,9
2024-08-18,facebook,social,engagement_campaign,ad_group_e,116,11,43,46.0,203,137,3454.56,20
2024-08-18,criteo,display,retargeting_campaign,ad_group_h,422,45,75,24.53,800,599,2209.63,21
2024-08-19,google,ppc,search_campaign,ad_group_a,168,9,71,63.05,232,201,895.51,17
2024-08-19,yahoo,ppc,native_ads_campaign,ad_group_c,50,5,12,39.87,67,48,3632.27,10
2024-08-19,facebook,social,engagement_campaign,ad_group_e,117,10,57,28.98,228,212,4617.5,16
2024-08-19,criteo,display,retargeting_campaign,ad_group_g,226,5,51,37.91,314,222,4286.94,2
2024-08-20,google,ppc,search_campaign,ad_group_a,315,47,23,66.77,379,349,1258.29,93
2024-08-20,yahoo,ppc,native_ads_campaign,ad_group_d,361,81,86,30.78,582,397,2380.61,141
2024-08-20,facebook,social,engagement_campaign,ad_group_e,439,66,129,22.49,566,510,3935.47,76
2024-08-20,criteo,display,retargeting_campaign,ad_group_g,59,11,18,70.72,94,63,2863.4,2
2024-08-21,google,ppc,search_campaign,ad_group_a,478,103,170,69.69,785,594,3088.37,181
2024-08-21,yahoo,ppc,native_ads_campaign,ad_group_d,421,64,79,76.63,780,512,3431.77,47
2024-08-21,facebook,social,engagement_campaign,ad_group_f,322,7,30,35.35,476,472,3758.2,8
2024-08-21,criteo,display,retargeting_campaign,ad_group_g,470,53,15,64.54,754,460,427.12,5
2024-08-22,google,ppc,search_campaign,ad_group_a,390,16,167,79.6,573,487,1845.89,2
2024-08-22,yahoo,ppc,native_ads_campaign,ad_group_c,237,47,112,66.73,258,211,4394.54,6
2024-08-22,facebook,social,engagement_campaign,ad_group_f,395,37,140,67.5,579,468,4242.08,24
2024-08-22,criteo,display,retargeting_campaign,ad_group_h,262,7,30,69.74,521,402,4743.13,5
2024-08-23,google,ppc,search_campaign,ad_group_a,477,15,43,49.21,486,249,2088.75,20
2024-08-23,yahoo,ppc,native_ads_campaign,ad_group_d,474,42,38,53.96,693,542,2230.68,5
2024-08-23,facebook,social,engagement_campaign,ad_group_f,470,106,151,76.43,693,588,4832.56,4
2024-08-23,criteo,display,retargeting_campaign,ad_group_g,469,101,80,56.65,724,602,4043.73,118
2024-08-24,google,ppc,search_campaign,ad_group_b,338,70,10,68.54,571,511,944.72,82
2024-08-24,yahoo,ppc,native_ads_campaign,ad_group_c,112,24,31,71.85,167,106,401.07,20
2024-08-24,facebook,social,engagement_campaign,ad_group_e,239,48,77,62.82,291,151,3066.08,79
2024-08-24,criteo,display,retargeting_campaign,ad_group_g,331,76,45,37.2,552,352,3696.03,79
2024-08-25,google,ppc,search_campaign,ad_group_a,421,90,133,64.8,516,486,4501.23,27
2024-08-25,yahoo,ppc,native_ads_campaign,ad_group_c,163,6,46,79.79,238,198,2913.65,10
2024-08-25,facebook,social,engagement_campaign,ad_group_f,223,51,20,66.65,362,184,653.52,73
2024-08-25,criteo,display,retargeting_campaign,ad_group_h,477,85,135,49.87,915,774,3594.03,161
2024-08-26,google,ppc,search_campaign,ad_group_a,151,15,44,26.27,164,138,3895.05,17
2024-08-26,yahoo,ppc,native_ads_campaign,ad_group_d,99,15,36,40.39,126,117,4282.53,30
2024-08-26,facebook,social,engagement_campaign,ad_group_f,128,32,41,23.36,153,99,364.25,3
2024-08-26,criteo,display,retargeting_campaign,ad_group_h,89,12,10,44.5,104,78,871.87,16
2024-08-27,google,ppc,search_campaign,ad_group_a,137,15,31,60.77,153,81,164.06,18
2024-08-27,yahoo,ppc,native_ads_campaign,ad_group_c,363,56,150,62.87,515,420,2564.23,75
2024-08-27,facebook,social,engagement_campaign,ad_group_e,441,38,178,33.38,611,326,4244.1,66
2024-08-27,criteo,display,retargeting_campaign,ad_group_h,420,42,72,72.6,722,481,665.0,66
2024-08-28,google,ppc,search_campaign,ad_group_a,497,97,62,31.21,740,633,598.63,17
2024-08-28,yahoo,ppc,native_ads_campaign,ad_group_d,65,15,24,54.13,96,76,1514.48,10
2024-08-28,facebook,social,engagement_campaign,ad_group_f,465,61,14,34.52,722,660,4749.28,84
2024-08-28,criteo,display,retargeting_campaign,ad_group_g,252,58,59,27.87,380,369,4556.35,44
2024-08-29,google,ppc,search_campaign,ad_group_a,213,43,74,39.86,310,224,3654.76,42
2024-08-29,yahoo,ppc,native_ads_campaign,ad_group_c,485,76,193,24.64,671,381,1173.84,5
2024-08-29,facebook,social,engagement_campaign,ad_group_e,157,25,63,52.45,254,213,4106.38,26
2024-08-29,criteo,display,retargeting_campaign,ad_group_h,149,14,55,26.87,149,134,2703.56,19
2024-08-30,google,ppc,search_campaign,ad_group_b,277,35,57,22.75,481,350,3323.65,57
2024-08-30,yahoo,ppc,native_ads_campaign,ad_group_c,268,19,130,69.69,385,262,4372.05,19
2024-08-30,facebook,social,engagement_campaign,ad_group_e,441,76,89,25.43,842,442,2521.11,64
2024-08-30,criteo,display,retargeting_campaign,ad_group_h,276,59,43,49.23,442,275,4507.69,33
2024-08-31,google,ppc,search_campaign,ad_group_b,79,19,38,51.36,137,132,4243.72,37
2024-08-31,yahoo,ppc,native_ads_campaign,ad_group_d,78,7,30,57.06,124,87,303.13,10
2024-08-31,facebook,social,engagement_campaign,ad_group_e,337,13,100,57.33,440,431,481.1,19
2024-08-31,criteo,display,retargeting_campaign,ad_group_h,315,18,156,40.82,479,315,1212.2,12
2024-09-01,google,ppc,search_campaign,ad_group_b,448,94,78,54.42,775,484,3739.87,183
2024-09-01,yahoo,ppc,native_ads_campaign,ad_group_d,299,69,30,24.21,444,397,4622.38,50
2024-09-01,facebook,social,engagement_campaign,ad_group_e,101,8,14,49.29,142,77,3713.15,8
2024-09-01,criteo,display,retargeting_campaign,ad_group_g,354,7,123,36.68,584,433,3404.91,5
2024-09-02,google,ppc,search_campaign,ad_group_b,203,21,31,47.5,291,164,2456.7,34
2024-09-02,yahoo,ppc,native_ads_campaign,ad_group_d,139,16,41,41.96,150,128,3086.41,18
2024-09-02,facebook,social,engagement_campaign,ad_group_e,451,103,90,80.0,864,443,798.9,55
2024-09-02,criteo,display,retargeting_campaign,ad_group_g,59,10,28,28.54,74,70,1001.17,20
2024-09-03,google,ppc,search_campaign,ad_group_a,194,33,39,63.04,333,182,510.44,42
2024-09-03,yahoo,ppc,native_ads_campaign,ad_group_c,500,125,167,52.75,724,495,3311.31,151
2024-09-03,facebook,social,engagement_campaign,ad_group_e,397,77,102,32.6,447,342,1145.74,94
2024-09-03,criteo,display,retargeting_campaign,ad_group_g,458,56,89,75.7,783,628,4198.47,34
2024-09-04,google,ppc,search_campaign,ad_group_a,122,26,49,62.4,142,132,2735.76,13
2024-09-04,yahoo,ppc,native_ads_campaign,ad_group_d,110,22,15,72.23,211,129,2760.37,41
2024-09-04,facebook,social,engagement_campaign,ad_group_f,468,48,45,27.88,743,389,4696.45,70
2024-09-04,criteo,display,retargeting_campaign,ad_group_g,96,16,36,69.23,146,137,4118.78,3
2024-09-05,google,ppc,search_campaign,ad_group_a,176,25,22,44.97,248,130,2032.83,25
2024-09-05,yahoo,ppc,native_ads_campaign,ad_group_d,66,11,15,42.97,122,73,1352.64,9
2024-09-05,facebook,social,engagement_campaign,ad_group_f,372,72,98,71.27,451,405,4793.29,57
2024-09-05,criteo,display,retargeting_campaign,ad_group_h,493,25,245,75.03,667,387,2786.67,2
2024-09-06,google,ppc,search_campaign,ad_group_b,397,32,101,42.07,784,713,4714.8,14
2024-09-06,yahoo,ppc,native_ads_campaign,ad_group_c,472,69,152,42.74,676,490,2904.11,79
2024-09-06,facebook,social,engagement_campaign,ad_group_e,317,34,146,59.0,581,558,2121.99,27
2024-09-06,criteo,display,retargeting_campaign,ad_group_h,54,11,17,48.17,73,56,4302.77,13
2024-09-07,google,ppc,search_campaign,ad_group_a,494,50,134,73.4,936,754,1950.17,39
2024-09-07,yahoo,ppc,native_ads_campaign,ad_group_c,353,77,126,66.48,588,375,671.52,53
2024-09-07,facebook,social,engagement_campaign,ad_group_f,173,29,53,52.46,202,200,3880.52,27
2024-09-07,criteo,display,retargeting_campaign,ad_group_g,429,89,168,45.79,591,318,1666.09,10
2024-09-08,google,ppc,search_campaign,ad_group_b,389,65,110,23.64,515,507,1387.66,39
2024-09-08,yahoo,ppc,native_ads_campaign,ad_group_d,182,16,22,41.53,237,139,174.32,11
2024-09-08,facebook,social,engagement_campaign,ad_group_f,230,29,42,67.47,387,384,3296.06,5
